trial,param_iterations,param_learning_rate,param_depth,param_l2_leaf_reg,param_border_count,param_random_strength,param_bagging_temperature,f1_macro,accuracy
1384,700,0.18,8,2.0,216,0.4,0.9,0.4795476818909268,0.4944912508101102
1385,800,0.16999999999999998,7,2.0,224,0.2,0.8500000000000001,0.47951427860237295,0.49497731691510044
1386,600,0.16999999999999998,7,3.0,208,0.0,0.8,0.47990825493465045,0.4948152948801037
1387,600,0.18,7,1.0,200,0.0,0.8500000000000001,0.48342718239777643,0.49789371354504214
1388,700,0.16999999999999998,7,2.0,208,2.4000000000000004,0.8500000000000001,0.4769016496374328,0.4904406999351912
1389,800,0.03,7,3.0,216,0.2,0.9,0.4802445555945118,0.495301360985094
1390,600,0.16999999999999998,7,2.0,216,0.0,0.8500000000000001,0.48434128591299747,0.4987038237200259
1391,700,0.18,7,2.0,224,0.2,0.8,0.47902713842775096,0.4944912508101102
1392,600,0.04,7,1.0,208,4.4,0.9,0.4719538913335155,0.48460790667530784
1393,700,0.16999999999999998,7,2.0,200,0.0,1.0,0.48289535379258525,0.49740764744005184
1394,600,0.16999999999999998,7,3.0,208,0.0,0.8500000000000001,0.4813407261136715,0.49659753726506806
1395,700,0.18,7,6.0,216,0.0,0.8,0.48267063720356024,0.4975696694750486
1396,800,0.16999999999999998,7,1.0,200,0.2,0.8500000000000001,0.480805212167082,0.49497731691510044
1397,600,0.18,7,2.0,224,0.2,0.9,0.48061225434426674,0.4957874270900843
1398,800,0.16999999999999998,7,2.0,208,0.4,0.8500000000000001,0.48120196231819445,0.49611147116007775
1399,700,0.16999999999999998,7,3.0,216,0.0,0.8,0.47990825493465045,0.4948152948801037
1400,600,0.16999999999999998,7,2.0,208,0.0,0.8500000000000001,0.48434128591299747,0.4987038237200259
1401,700,0.05,7,1.0,216,1.0,0.8500000000000001,0.4779566946207172,0.49125081011017496
1402,600,0.16999999999999998,7,2.0,248,0.2,0.9,0.47879494096903646,0.4933570965651329
1403,600,0.18,7,3.0,200,0.0,0.8500000000000001,0.4811365120380227,0.495949449125081
1404,700,0.19,7,2.0,224,0.0,0.8,0.4808912416263003,0.4957874270900843
1405,600,0.16999999999999998,7,1.0,208,0.2,0.9500000000000001,0.48023557282010537,0.49416720674011666
1406,800,0.18,7,2.0,216,0.0,0.9,0.48109831546015486,0.49659753726506806
1407,700,0.16999999999999998,7,2.0,208,0.2,0.8500000000000001,0.47951427860237295,0.49497731691510044
1408,600,0.16999999999999998,6,3.0,216,0.0,0.8,0.4810277355511814,0.4951393389500972
1409,700,0.18,7,1.0,200,0.4,0.8500000000000001,0.47853824183416344,0.4935191186001296
1410,1800,0.16999999999999998,7,2.0,208,0.0,0.8500000000000001,0.48434128591299747,0.4987038237200259
1411,600,0.16999999999999998,7,2.0,208,0.2,0.9,0.47879494096903646,0.4933570965651329
1412,800,0.16999999999999998,6,3.0,224,2.8000000000000003,0.8500000000000001,0.4790275298267435,0.4933570965651329
1413,700,0.18,7,1.0,216,0.0,0.8,0.4824887020221795,0.4967595593000648
1414,600,0.16999999999999998,7,2.0,200,0.0,0.9,0.4824381700693685,0.49724562540505507
1415,700,0.16999999999999998,7,3.0,216,0.2,0.0,0.48003052215419917,0.49497731691510044
1416,800,0.18,7,2.0,208,0.0,0.8500000000000001,0.4820074884318755,0.49773169151004537
1417,600,0.16999999999999998,7,2.0,208,0.0,0.8,0.48185343590509006,0.4967595593000648
1418,600,0.16999999999999998,7,1.0,216,0.2,0.8500000000000001,0.480805212167082,0.49497731691510044
1419,700,0.13,8,2.0,208,0.0,0.8500000000000001,0.4833947943472065,0.49902786779001945
1420,600,0.18,7,3.0,200,0.0,0.9,0.48189884955008894,0.4969215813350616
1421,700,0.16999999999999998,7,2.0,224,0.2,0.8,0.48108163434124185,0.4962734931950745
1422,800,0.16999999999999998,7,1.0,216,0.2,0.8500000000000001,0.480805212167082,0.49497731691510044
1423,600,0.18,7,2.0,216,0.0,0.8500000000000001,0.4820074884318755,0.49773169151004537
1424,700,0.16999999999999998,7,3.0,112,0.0,0.9,0.48227416361802095,0.4970836033700583
1425,600,0.16999999999999998,7,2.0,208,0.0,0.8500000000000001,0.48434128591299747,0.4987038237200259
1426,700,0.18,7,2.0,200,0.4,0.8,0.47853824183416344,0.4935191186001296
1427,800,0.16999999999999998,7,1.0,224,0.2,0.8500000000000001,0.480805212167082,0.49497731691510044
1428,600,0.16999999999999998,7,3.0,208,1.2000000000000002,0.9,0.4796085653933697,0.4933570965651329
1429,700,0.18,7,2.0,216,0.0,0.8500000000000001,0.4820074884318755,0.49773169151004537
1430,600,0.19999999999999998,7,2.0,208,0.2,0.8,0.47859794811571604,0.4948152948801037
1431,800,0.16999999999999998,7,1.0,216,0.0,0.8500000000000001,0.4830585382433932,0.49740764744005184
1432,700,0.16999999999999998,7,3.0,200,0.0,0.8,0.47990825493465045,0.4948152948801037
1433,600,0.18,7,2.0,208,0.2,0.9,0.48061225434426674,0.4957874270900843
1434,700,0.19,7,1.0,224,0.0,0.8500000000000001,0.4804825982003848,0.49546338302009074
1435,600,0.16999999999999998,7,2.0,208,3.0,0.9500000000000001,0.47761516725057235,0.4899546338302009
1436,700,0.16999999999999998,7,2.0,216,0.0,0.8500000000000001,0.48434128591299747,0.4987038237200259
1437,800,0.16999999999999998,7,3.0,200,0.2,0.9,0.47871798344570166,0.4933570965651329
1438,600,0.18,7,2.0,216,0.4,0.8500000000000001,0.47853824183416344,0.4935191186001296
1439,600,0.16999999999999998,7,1.0,208,0.0,0.8,0.4825394646469569,0.4970836033700583
1440,700,0.16999999999999998,7,2.0,208,0.2,0.8500000000000001,0.47951427860237295,0.49497731691510044
1441,600,0.16999999999999998,7,3.0,224,0.0,0.05,0.4793303124999515,0.4948152948801037
1442,700,0.18,7,2.0,216,0.0,0.35000000000000003,0.47876771198119056,0.4943292287751134
1443,800,0.16999999999999998,7,2.0,200,0.2,0.9,0.47879494096903646,0.4933570965651329
1444,600,0.18,7,1.0,216,2.2,0.8500000000000001,0.4791617245649096,0.4928710304601426
1445,700,0.16999999999999998,7,3.0,104,0.0,0.8,0.47990825493465045,0.4948152948801037
1446,600,0.16999999999999998,7,2.0,208,0.0,0.8500000000000001,0.48434128591299747,0.4987038237200259
1447,700,0.16999999999999998,7,1.0,208,0.2,0.9,0.48052781868836897,0.4944912508101102
1448,600,0.18,7,3.0,200,0.0,0.25,0.48125034629668306,0.4962734931950745
1449,800,0.16999999999999998,7,2.0,216,0.2,0.8500000000000001,0.47951427860237295,0.49497731691510044
